,ticker,volume
352,IUSZ,5383993.525732383
512,IS0F,1634868.1979414094
187,IS03,1054409.731591449
515,SXRC,975117.8440221695
514,IS04,915433.5288994458
324,EXX1,839603.4357366771
504,IS00,839012.4330958036
194,QDV4,759326.8527315914
750,QDVR,604752.3190815519
83,QDVJ,574140.2003167062
318,EXW1,545936.012539185
643,CEMS,488074.783847981
360,2B7R,475049.5874901029
355,VUKE,427740.72842438635
883,IUS2,427322.1425178147
519,IBB1,413940.74921630096
756,EUNL,401817.42201108474
12,SXRS,396216.11243072053
846,QDVF,393925.63103721297
116,QDVL,379157.8362068966
77,EUNU,371576.6159936659
730,SGAS,355651.4053840063
132,OM3F,355315.8147268409
422,2B7U,354572.1053048298
513,2B7S,351322.7806809184
363,2B7M,346831.2169437846
964,EXSA,327625.157523511
361,VMID,304488.4204275535
728,PAUS,303872.9495351926
33,IUSG,302048.97228820267
459,IQQD,288364.0419635788
520,SXRH,287534.2992874109
81,IS0G,279451.2193190816
804,2B7K,278345.74901029293
490,SXRI,272254.3562945368
798,IUSN,256421.12193190816
853,QDVE,254159.072050673
34,EUN5,249690.67854315124
90,SXRX,243380.18448139352
966,EXV1,232405.58463949844
529,2B76,223777.9469517023
9,AYER,219944.14261315114
193,QDVY,208650.1757719715
745,QDVB,208267.97149643707
521,IBCC,206414.64528899445
208,QDVP,201544.84006334125
365,SECA,195162.06097560975
869,VUSA,188330.60095011877
601,IBC3,172619.04829770388
250,XCHA,172575.3388756928
149,36BC,170120.0340459224
319,LYSX,154147.06536964982
473,H4ZX,150969.6779661017
662,CEMR,149284.87068965516
516,AYEL,146437.42155309033
123,AYE2,143024.96417445483
902,IQQH,141012.7852614897
95,QDVQ,140202.4932699921
875,ESEH,140194.2319066148
491,EUNW,136932.207442597
880,O4J0,131459.97157190635
358,2B7I,130187.06254948536
96,2B7X,129982.62232779097
506,IUSH,126800.08392715757
778,EDMW,126469.84404388715
786,QDVW,126216.5866983373
587,10AF,125282.52529182879
179,2B7T,124954.83610451306
729,OM3L,124112.19002375296
761,IWLE,121770.36598746081
997,L0CK,121702.96912114014
225,IS3V,120582.61342395922
865,IUSA,117169.9873317498
88,SXRB,115274.59382422802
683,SGAJ,111215.59857482185
819,2B70,110323.8875692795
411,SXRA,105469.12430720507
976,EXH1,104108.48119122257
653,QDVX,103085.39655172414
999,IEVD,101436.20823436262
793,IQQ0,99901.47347585115
537,IUSP,99388.2224861441
645,EDM6,98681.29231974922
681,PAUJ,95450.73235685752
203,SXRF,95095.04592240696
151,UEEF,94530.34155251141
573,SEC0,93875.7754385965
505,IS0R,93701.52256532066
528,2B77,92850.92319873317
617,SLMA,91905.9670846395
825,XDJP,89704.04153605015
845,QDVK,89659.89311163896
797,IS3Q,87111.2692003167
145,SNAV,83472.13855898654
432,2B7H,83471.67458432305
712,4UB5,82158.70863024544
259,DBXD,81062.24451410658
860,10AP,79837.98020585907
313,ETBB,79078.82490272373
859,VOOL,77525.76557632399
467,GBSE,75748.21490196079
775,QDV3,74745.25574030087
599,84X0,74398.66666666667
527,USPY,72328.90736342043
309,EXSI,71707.73510971786
133,SUA0,66931.47447447447
288,U5MD,65871.42418772563
115,IE3E,64483.16718266254
870,VUAA,63969.51227236738
387,VGEU,60595.17445482866
713,2B7N,59912.80047505938
199,XUHY,59726.438638163105
109,EFRN,59389.431818181816
536,3SUD,56374.228056426335
840,ZPRR,56087.68883610451
370,VWCE,55853.986539984166
353,B8TT,55222.125890736344
858,2B7A,54336.51724137931
434,AYEK,53953.40887850467
312,ETDD,53775.83579766537
612,XD5E,53047.33699059561
498,UEED,53015.04878048781
1002,EXS2,52391.39655172414
861,AUM5,52360.91439688716
796,IS3R,52324.72604908947
251,RQFI,51529.34996041172
440,VJPN,51404.37054631829
315,EL4B,49963.349529780564
310,V50A,49395.92295719845
190,EUNE,48837.12747426762
533,SNAZ,48049.36062861869
415,IPRE,47802.86990595611
174,VGOV,46839.03325415677
10,AYEQ,45960.855919003116
774,XDW0,45595.013460015834
152,5UOA,45233.039376538145
909,SPY4,44848.66349960412
368,ZPRD,44847.84877276326
738,XZMU,44591.28028503563
901,ZPDF,43905.44180522565
124,AYE3,43092.89875389408
942,HTMW,42261.55567117586
421,IM2A,42055.87159533074
449,2B7V,41347.23294117647
732,XUFN,40765.34045922407
